modbusAddr,name,register,datatype,desc
300629,AutbusPADev42_slot0_var6.AutbusPADev42_slot0_var6,Input Registers,USINT,day
300630,AutbusPADev42_slot0_var7.AutbusPADev42_slot0_var7,Input Registers,USINT,hour
300631,AutbusPADev42_slot0_var8.AutbusPADev42_slot0_var8,Input Registers,USINT,minute
300632,AutbusPADev42_slot0_var9.AutbusPADev42_slot0_var9,Input Registers,USINT,second
400194,AutbusPADev42_slot0_var10.AutbusPADev42_slot0_var10,Holding Registers,USINT,OutData1
400195,AutbusPADev42_slot0_var11.AutbusPADev42_slot0_var11,Holding Registers,USINT,OutData2
300633,AutbusPADev42_slot0_alarm1.AutbusPADev42_slot0_alarm1,Input Registers,USINT,alarm1
300634,AutbusPADev42_slot0_alarm2.AutbusPADev42_slot0_alarm2,Input Registers,USINT,alarm2
400196,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400197,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300635,null.null,Input Registers,UINT,undefined
300636,AutbusPADev43_slot0_var1.AutbusPADev43_slot0_var1,Input Registers,USINT,InData1
300637,AutbusPADev43_slot0_var2.AutbusPADev43_slot0_var2,Input Registers,UINT,InData2
300638,AutbusPADev43_slot0_var3.AutbusPADev43_slot0_var3,Input Registers,ULINT,timer
300642,AutbusPADev43_slot0_var4.AutbusPADev43_slot0_var4,Input Registers,UINT,year
300643,AutbusPADev43_slot0_var5.AutbusPADev43_slot0_var5,Input Registers,USINT,month
300644,AutbusPADev43_slot0_var6.AutbusPADev43_slot0_var6,Input Registers,USINT,day
300645,AutbusPADev43_slot0_var7.AutbusPADev43_slot0_var7,Input Registers,USINT,hour
300646,AutbusPADev43_slot0_var8.AutbusPADev43_slot0_var8,Input Registers,USINT,minute
300647,AutbusPADev43_slot0_var9.AutbusPADev43_slot0_var9,Input Registers,USINT,second
400198,AutbusPADev43_slot0_var10.AutbusPADev43_slot0_var10,Holding Registers,USINT,OutData1
400199,AutbusPADev43_slot0_var11.AutbusPADev43_slot0_var11,Holding Registers,USINT,OutData2
300648,AutbusPADev43_slot0_alarm1.AutbusPADev43_slot0_alarm1,Input Registers,USINT,alarm1
300649,AutbusPADev43_slot0_alarm2.AutbusPADev43_slot0_alarm2,Input Registers,USINT,alarm2
400200,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400201,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300650,null.null,Input Registers,UINT,undefined
300651,AutbusPADev44_slot0_var1.AutbusPADev44_slot0_var1,Input Registers,USINT,InData1
300652,AutbusPADev44_slot0_var2.AutbusPADev44_slot0_var2,Input Registers,UINT,InData2
300653,AutbusPADev44_slot0_var3.AutbusPADev44_slot0_var3,Input Registers,ULINT,timer
